Version,Metric,BlockSize,Time(ms)
cuda_kmeans_naive,total,32,7853.017092
cuda_kmeans_naive,total,48,8802.122116
cuda_kmeans_naive,total,64,7857.47695
cuda_kmeans_naive,total,128,7619.962931
cuda_kmeans_naive,total,238,7891.824007
cuda_kmeans_naive,total,512,7624.089003
cuda_kmeans_naive,total,1024,7780.930996
cuda_kmeans_naive,t_alloc,32,178.194046
cuda_kmeans_naive,t_alloc,48,178.426027
cuda_kmeans_naive,t_alloc,64,178.267002
cuda_kmeans_naive,t_alloc,128,178.310156
cuda_kmeans_naive,t_alloc,238,178.716898
cuda_kmeans_naive,t_alloc,512,178.257942
cuda_kmeans_naive,t_alloc,1024,178.324938
cuda_kmeans_naive,t_alloc_gpu,32,771.869183
cuda_kmeans_naive,t_alloc_gpu,48,762.18915
cuda_kmeans_naive,t_alloc_gpu,64,742.125034
cuda_kmeans_naive,t_alloc_gpu,128,739.089966
cuda_kmeans_naive,t_alloc_gpu,238,759.530067
cuda_kmeans_naive,t_alloc_gpu,512,758.469105
cuda_kmeans_naive,t_alloc_gpu,1024,750.900984
cuda_kmeans_naive,t_get_gpu,32,299.308062
cuda_kmeans_naive,t_get_gpu,48,298.541069
cuda_kmeans_naive,t_get_gpu,64,324.687958
cuda_kmeans_naive,t_get_gpu,128,298.732996
cuda_kmeans_naive,t_get_gpu,238,352.722168
cuda_kmeans_naive,t_get_gpu,512,298.96307
cuda_kmeans_naive,t_get_gpu,1024,326.854944
cuda_kmeans_transpose,total,32,6639.897108
cuda_kmeans_transpose,total,48,7315.875053
cuda_kmeans_transpose,total,64,5866.289139
cuda_kmeans_transpose,total,128,6253.002167
cuda_kmeans_transpose,total,238,6088.644981
cuda_kmeans_transpose,total,512,5910.912991
cuda_kmeans_transpose,total,1024,6227.234125
cuda_kmeans_transpose,t_alloc,32,976.603031
cuda_kmeans_transpose,t_alloc,48,979.211092
cuda_kmeans_transpose,t_alloc,64,976.44496
cuda_kmeans_transpose,t_alloc,128,977.402925
cuda_kmeans_transpose,t_alloc,238,976.491928
cuda_kmeans_transpose,t_alloc,512,977.064848
cuda_kmeans_transpose,t_alloc,1024,977.741957
cuda_kmeans_transpose,t_alloc_gpu,32,1118.369102
cuda_kmeans_transpose,t_alloc_gpu,48,1120.216846
cuda_kmeans_transpose,t_alloc_gpu,64,1112.62989
cuda_kmeans_transpose,t_alloc_gpu,128,1132.451057
cuda_kmeans_transpose,t_alloc_gpu,238,1106.402874
cuda_kmeans_transpose,t_alloc_gpu,512,1126.050949
cuda_kmeans_transpose,t_alloc_gpu,1024,1115.355015
cuda_kmeans_transpose,t_get_gpu,32,301.289082
cuda_kmeans_transpose,t_get_gpu,48,300.323009
cuda_kmeans_transpose,t_get_gpu,64,301.406145
cuda_kmeans_transpose,t_get_gpu,128,299.809933
cuda_kmeans_transpose,t_get_gpu,238,300.961971
cuda_kmeans_transpose,t_get_gpu,512,301.917076
cuda_kmeans_transpose,t_get_gpu,1024,300.706863
cuda_kmeans_shared,total,32,6146.443129
cuda_kmeans_shared,total,48,7570.58692
cuda_kmeans_shared,total,64,6664.783955
cuda_kmeans_shared,total,128,6050.159931
cuda_kmeans_shared,total,238,6771.516085
cuda_kmeans_shared,total,512,6065.501928
cuda_kmeans_shared,total,1024,6080.714941
cuda_kmeans_shared,t_alloc,32,976.934195
cuda_kmeans_shared,t_alloc,48,978.357077
cuda_kmeans_shared,t_alloc,64,976.824999
cuda_kmeans_shared,t_alloc,128,976.678848
cuda_kmeans_shared,t_alloc,238,976.425886
cuda_kmeans_shared,t_alloc,512,975.816011
cuda_kmeans_shared,t_alloc,1024,975.840092
cuda_kmeans_shared,t_alloc_gpu,32,1128.777981
cuda_kmeans_shared,t_alloc_gpu,48,1113.613129
cuda_kmeans_shared,t_alloc_gpu,64,1133.063793
cuda_kmeans_shared,t_alloc_gpu,128,1107.688904
cuda_kmeans_shared,t_alloc_gpu,238,1092.866898
cuda_kmeans_shared,t_alloc_gpu,512,1122.432947
cuda_kmeans_shared,t_alloc_gpu,1024,1103.354931
cuda_kmeans_shared,t_get_gpu,32,301.505804
cuda_kmeans_shared,t_get_gpu,48,299.356937
cuda_kmeans_shared,t_get_gpu,64,299.870968
cuda_kmeans_shared,t_get_gpu,128,301.293135
cuda_kmeans_shared,t_get_gpu,238,300.053835
cuda_kmeans_shared,t_get_gpu,512,300.8461
cuda_kmeans_shared,t_get_gpu,1024,301.747084
cuda_kmeans_all_gpu,total,32,3475.728035
cuda_kmeans_all_gpu,total,48,4358.142138
cuda_kmeans_all_gpu,total,64,3285.619974
cuda_kmeans_all_gpu,total,128,3275.502205
cuda_kmeans_all_gpu,total,238,3509.574175
cuda_kmeans_all_gpu,total,512,3319.023132
cuda_kmeans_all_gpu,total,1024,3355.639935
cuda_kmeans_all_gpu,t_alloc,32,1022.276163
cuda_kmeans_all_gpu,t_alloc,48,1019.818068
cuda_kmeans_all_gpu,t_alloc,64,1025.896072
cuda_kmeans_all_gpu,t_alloc,128,1022.040129
cuda_kmeans_all_gpu,t_alloc,238,1023.92602
cuda_kmeans_all_gpu,t_alloc,512,1023.244143
cuda_kmeans_all_gpu,t_alloc,1024,1024.044991
cuda_kmeans_all_gpu,t_alloc_gpu,32,1382.418871
cuda_kmeans_all_gpu,t_alloc_gpu,48,1226.075172
cuda_kmeans_all_gpu,t_alloc_gpu,64,1265.480995
cuda_kmeans_all_gpu,t_alloc_gpu,128,1306.001186
cuda_kmeans_all_gpu,t_alloc_gpu,238,1338.956118
cuda_kmeans_all_gpu,t_alloc_gpu,512,1334.506035
cuda_kmeans_all_gpu,t_alloc_gpu,1024,1309.322119
cuda_kmeans_all_gpu,t_get_gpu,32,370.476007
cuda_kmeans_all_gpu,t_get_gpu,48,369.866848
cuda_kmeans_all_gpu,t_get_gpu,64,371.453047
cuda_kmeans_all_gpu,t_get_gpu,128,371.454
cuda_kmeans_all_gpu,t_get_gpu,238,375.32115
cuda_kmeans_all_gpu,t_get_gpu,512,370.676994
cuda_kmeans_all_gpu,t_get_gpu,1024,370.629072
